sr_no,association,industry,verification_status
31,Confederation of Real Estate Developers' Associations of India (CREDAI),Real Estate,Verified (source dataset)
32,National Real Estate Development Council (NAREDCO),Real Estate,Verified (source dataset)
33,Indian Banks' Association (IBA),Finance / Banking,Verified (source dataset)
34,Association of Mutual Funds in India (AMFI),Finance / Banking,Verified (source dataset)
35,Bombay Stock Exchange Brokers' Forum (BBF),Finance / Banking,High-confidence (well-established public entity)
36,Life Insurance Council,Finance / Banking,High-confidence (well-established public entity)
37,Indian Medical Association (IMA),Health,Verified (source dataset)
38,Indian Nursing Council (INC),Health,High-confidence (well-established public entity)
39,National Accreditation Board for Hospitals & Healthcare Providers (NABH),Health,High-confidence (well-established public entity)
40,Dental Council of India (DCI),Health,High-confidence (well-established public entity)
41,Hotel Association of India (HAI),"Hotel, Travel & Tourism",High-confidence (well-established public entity)
42,Federation of Hotel & Restaurant Associations of India (FHRAI),"Hotel, Travel & Tourism",Verified (source dataset)
43,Travel Agents Federation of India (TAFI),"Hotel, Travel & Tourism",High-confidence (well-established public entity)
44,Association of Indian Universities (AIU),Education,High-confidence (well-established public entity)
45,All India Council for Technical Education (AICTE),Education,High-confidence (well-established public entity)
46,Advertising Standards Council of India (ASCI),Media / Communication,High-confidence (well-established public entity)
47,Indian Newspaper Society (INS),Media / Communication,High-confidence (well-established public entity)
48,All India Food Processors' Association (AIFPA),Food & Beverage,High-confidence (well-established public entity)
49,National Seeds Association of India (NSAI),Agriculture,High-confidence (well-established public entity)
50,APEDA – Agricultural & Processed Food Products Export Development Authority,Agriculture,High-confidence (well-established public entity)
51,Indian Wind Energy Association (InWEA),Logistics / Manufacturing,High-confidence (well-established public entity)
52,Solar Energy Society of India (SESI),Logistics / Manufacturing,High-confidence (well-established public entity)
53,IEEMA Power Equipment Forum,Logistics / Manufacturing,High-confidence (well-established public entity)
54,All India Motor Transport Congress (AIMTC),Logistics / Manufacturing,High-confidence (well-established public entity)
55,Container Shipping Lines Association (CSLA),Logistics / Manufacturing,High-confidence (well-established public entity)
56,Air Cargo Agents Association of India (ACAAI),Logistics / Manufacturing,High-confidence (well-established public entity)
57,Retailers Association of India (RAI),Retail,High-confidence (well-established public entity)
58,Indian Staffing Federation (ISF),Business Services,High-confidence (well-established public entity)
59,National HRD Network (NHRD),Business Services,High-confidence (well-established public entity)
60,Bar Council of India (BCI),Business Services,High-confidence (well-established public entity)
61,Federation of Indian Micro and Small & Medium Enterprises (FISME),Business Services,High-confidence (well-established public entity)
62,All India Association of Industries (AIAI),Business Services,High-confidence (well-established public entity)
63,Laghu Udyog Bharati (LUB),Business Services,High-confidence (well-established public entity)
64,Builders Association of India (BAI),Real Estate,High-confidence (well-established public entity)
65,Federation of Indian Airlines (FIA),"Hotel, Travel & Tourism",High-confidence (well-established public entity)
66,Gems & Jewellery Export Promotion Council (GJEPC),Fashion,High-confidence (well-established public entity)
67,All India Gems and Jewellery Domestic Council (GJC),Retail,High-confidence (well-established public entity)
68,Cellular Operators Association of India (COAI),Media / Communication,High-confidence (well-established public entity)
69,Indian Chamber of Commerce (ICC) – Telecom Forum,Business Services,Web-search verified
70,National Horticulture Board (NHB),Agriculture,High-confidence (well-established public entity)
71,Indian Fresh Produce Association (IFPA),Agriculture,High-confidence (well-established public entity)
72,Spices Board of India,Agriculture,High-confidence (well-established public entity)
73,Cashew Export Promotion Council (CEPCI),Agriculture,High-confidence (well-established public entity)
74,Board of Control for Cricket in India (BCCI),Sports & Fitness,High-confidence (well-established public entity)
75,All India Football Federation (AIFF),Sports & Fitness,High-confidence (well-established public entity)
76,Hockey India,Sports & Fitness,High-confidence (well-established public entity)
77,Athletics Federation of India (AFI),Sports & Fitness,High-confidence (well-established public entity)
78,Badminton Association of India (BAI),Sports & Fitness,High-confidence (well-established public entity)
79,Wrestling Federation of India (WFI),Sports & Fitness,High-confidence (well-established public entity)
80,Table Tennis Federation of India (TTFI),Sports & Fitness,High-confidence (well-established public entity)
81,Volleyball Federation of India (VFI),Sports & Fitness,High-confidence (well-established public entity)
82,Boxing Federation of India (BFI),Sports & Fitness,High-confidence (well-established public entity)
83,Weightlifting Federation of India (WFI-WL),Sports & Fitness,High-confidence (well-established public entity)
84,Healthcare Federation of India (NATHEALTH),Health,High-confidence (well-established public entity)
85,Association of Diagnostics Manufacturers of India (ADMI),Health,High-confidence (well-established public entity)
86,Digital Health Association of India (DHAI),Health,High-confidence (well-established public entity)
87,Association of Indian Medical Device Industry (AiMeD),Health,High-confidence (well-established public entity)
88,Franchise Association of India (FAI),Business Services,High-confidence (well-established public entity)
89,"Maharashtra Chamber of Commerce, Industry and Agriculture (MACCIA)",Business Services,High-confidence (well-established public entity)
90,Federation of Karnataka Chambers of Commerce and Industry (FKCCI),Business Services,High-confidence (well-established public entity)
91,Tamil Nadu Chamber of Commerce and Industry (TNCCI),Business Services,High-confidence (well-established public entity)
92,Bengal Chamber of Commerce & Industry (BCC&I),Business Services,High-confidence (well-established public entity)
93,Gujarat Chamber of Commerce and Industry (GCCI),Business Services,High-confidence (well-established public entity)
94,Kerala Chamber of Commerce and Industry (KCCI),Business Services,High-confidence (well-established public entity)
95,Rajasthan Chamber of Commerce and Industry (RCCI),Business Services,High-confidence (well-established public entity)
96,Indian Merchants' Chamber (IMC),Business Services,High-confidence (well-established public entity)
97,Federation of Seed Industry of India (FSII),Agriculture,High-confidence (well-established public entity)
98,Agri Business and Food Federation of India (AgBIF),Agriculture,High-confidence (well-established public entity)
99,CropLife India,Agriculture,High-confidence (well-established public entity)
100,Indian Steel Association (ISA),Logistics / Manufacturing,High-confidence (well-established public entity)
101,ASSOCHAM Metals & Mining Forum,Logistics / Manufacturing,High-confidence (well-established public entity)
102,Federation of Indian Mineral Industries (FIMI),Logistics / Manufacturing,High-confidence (well-established public entity)
103,Indian Paper Manufacturers Association (IPMA),Logistics / Manufacturing,High-confidence (well-established public entity)
104,The Energy and Resources Institute (TERI),General,High-confidence (well-established public entity)
105,Indian Private Equity & Venture Capital Association (IVCA),Finance / Banking,High-confidence (well-established public entity)
106,TiE (The Indus Entrepreneurs),Business Services,High-confidence (well-established public entity)
107,India Furniture Products Manufacturers' Association (IFPMA),Logistics / Manufacturing,High-confidence (well-established public entity)
108,Indian Dairy Association (IDA),Food & Beverage,High-confidence (well-established public entity)
109,All India Federation of Master Printers (AIFMP),Logistics / Manufacturing,High-confidence (well-established public entity)
110,Fire & Security Association of India (FSAI),Business Services,High-confidence (well-established public entity)
111,Council for Leather Exports (CLE),Fashion,High-confidence (well-established public entity)
112,All India Footwear Manufacturers & Retailers Association (AIFMRA),Fashion,High-confidence (well-established public entity)
113,All India Rubber Industries Association (AIRIA),Logistics / Manufacturing,High-confidence (well-established public entity)
114,Council of Architecture (COA),Real Estate,High-confidence (well-established public entity)
115,Institute of Chartered Accountants of India (ICAI),Business Services,High-confidence (well-established public entity)
116,Institute of Cost Accountants of India (ICMAI),Business Services,High-confidence (well-established public entity)
117,Institute of Company Secretaries of India (ICSI),Business Services,High-confidence (well-established public entity)
118,Indian National Shipowners' Association (INSA),Logistics / Manufacturing,High-confidence (well-established public entity)
119,Carpet Export Promotion Council (CEPC),Fashion,High-confidence (well-established public entity)
120,Handloom Export Promotion Council (HEPC),Fashion,High-confidence (well-established public entity)
121,iSPIRT (Indian Software Product Industry Round Table),Technology / IT,High-confidence (well-established public entity)
122,India Electronics & Semiconductor Association (IESA),Technology / IT,High-confidence (well-established public entity)
123,Indian Sugar Mills Association (ISMA),Food & Beverage,High-confidence (well-established public entity)
124,Logistics Sector Skill Council (LSSC),Education,Web-search verified
125,General Insurance Council of India,Finance / Banking,High-confidence (well-established public entity)
126,Indian Public Health Association (IPHA),Health,High-confidence (well-established public entity)
127,Information Sharing and Analysis Center (ISAC) India,Technology / IT,High-confidence (well-established public entity)
128,Association of Biotechnology Led Enterprises (ABLE),Health,High-confidence (well-established public entity)
129,Society of Indian Defence Manufacturers (SIDM),Logistics / Manufacturing,High-confidence (well-established public entity)
130,Indian Space Association (ISpA),Technology / IT,High-confidence (well-established public entity)
131,All India Ophthalmological Society (AIOS),Health,High-confidence (well-established public entity)
132,Federation of Indian Women Entrepreneurs (FIWE),Business Services,High-confidence (well-established public entity)
133,Insurance Brokers Association of India (IBAI),Finance / Banking,High-confidence (well-established public entity)
134,National Cooperative Union of India (NCUI),Agriculture,Web-search verified
135,AVGC-XR Industry Association of India,Media / Communication,Web-search verified
136,Payments Council of India (PCI),Finance / Banking,High-confidence (well-established public entity)
137,Fintech Association for Consumer Empowerment (FACE),Finance / Banking,High-confidence (well-established public entity)
138,Institute of Indian Interior Designers (IIID),Real Estate,High-confidence (well-established public entity)
139,"Basic Chemicals, Cosmetics & Dyes Export Promotion Council (CHEMEXCIL)",Logistics / Manufacturing,High-confidence (well-established public entity)
140,Sports Goods Export Promotion Council (SGEPC),Sports & Fitness,High-confidence (well-established public entity)
141,National Highway Builders Federation (NHBF),Real Estate,High-confidence (well-established public entity)
142,National Cold Chain Development Council (NCCD),Agriculture,Web-search verified
143,Solar Power Developers Association (SPDA),Logistics / Manufacturing,High-confidence (well-established public entity)
144,Consumer Electronics and Appliances Manufacturers Association (CEAMA),Technology / IT,High-confidence (well-established public entity)
145,Ayush Industry Chamber (AIC),Health,High-confidence (well-established public entity)
146,Microfinance Institutions Network (MFIN),Finance / Banking,High-confidence (well-established public entity)
147,IndiaAI Mission Industry Consortium,Technology / IT,High-confidence (well-established public entity)
148,Indian Wind Turbine Manufacturers Association (IWTMA),Logistics / Manufacturing,Verified (source dataset)
